iter	Logloss
0	0.6315437533
1	0.5772673858
2	0.534154513433	0.495776668544	0.465658340355	0.438150274166	0.416704488677	0.3998333896
8	0.3855751638
9	0.3743403231010	0.3625429291111	0.3550790221212	0.3467184413113	0.3387407911414	0.3338655341515	0.328476377116	0.322866034117	0.318114428
18	0.3142656459
19	0.3114950841
20	0.3085780611
21	0.3059254974
22	0.3031876052
23	0.3005178876
24	0.2982219176
25	0.2963703781
26	0.2958559898
27	0.2944074678
28	0.2907414784
29	0.2914164154
30	0.2880448438
31	0.2866982044
32	0.2880083542
33	0.2870696095
34	0.2860141102
35	0.2850474363
36	0.2842020026337	0.2813652146338	0.2806731342339	0.2800279421440	0.2793830459441	0.2787938437442	0.2780188409443	0.277281352644	0.2768004309
45	0.27638303
46	0.2759499965
47	0.275341892
48	48	0.2749517949	49	0.2746177850	50	0.2741214551	51	0.2737471852	0.2732456731
53	0.2729458145
54	0.272473554
55	0.2722119938
56	0.2718658887
57	0.2713300263
58	0.2707600265
59	0.2704439598
60	0.2701552223
61	0.2698876496
62	0.2695524959
63	0.2693583429
64	0.2691361144
65	0.2688384216
66	0.2685251965
67	0.2682178011
68	0.2679829597
69	0.2677794365
70	0.2676322428
71	0.2673922574
72	0.2671291479
73	0.2668490487
74	0.2666107227
75	0.2663296154
76	0.266071714
77	0.2659541424
78	0.2657108609
79	0.2654418219
80	0.265127566
81	0.2649692497
82	0.2646090949
83	0.2643308023
84	0.2641619173
85	0.2639469846
86	0.2637582125
87	0.2635270868
88	0.2633589249
89	0.2631764085
90	0.2630122222
91	0.2627825203
92	0.2625342609
93	0.262368256
94	0.2622385614
95	0.2620803759
96	0.2618756175
97	0.2617406637
98	0.261634038599	0.2642472472
100	0.2640908443
101	0.2638300622
102	0.2636755263
103	0.263538134
104	0.2633950244
105	0.2632586502
106	0.2631435366
107	0.2629179491
108	0.2627635546
109	0.2625918312
110	0110	0.260783111	0.2623023656
112	0.2622193889
113	0.2620628311
114	0.261984149
115	0.2617873143
116	0.2616661931
117	0.2614884127
118	0.2613774865
119	0.2612533591
120	0.26115243
121	0.2610176354
122	0.2608735357
123	0.260743624
124	0.2606181336
125	0.2604662609
126	0.2603155638
127	0.2601623976
128	0.260038753
129	0.2599019661
130	0.2597739926
131	0.2596699083
132	0.2595039245
133	0.2594179837
134	0.2593262596
135	0.2592243547
136	0.2591119052
137	0.2590641289
138	0.2589849875
139	0.2588499042
140	0.2587124134
141	0.2586016332
142	0.2584554683
143	0.2582782742
144	0.2581941266
145	0.2580362423
146	0.2579052533
147	0.2577933011
148	0.2576266875
149	0.2574600587
150	0.2573265875
151	0.2572488435
152	0.2571617337
153	0.257088467
154	0.2570277994
155	0.2569156797
156	0.2568322019
157	0.256706201
158	0.2566067335
159	0.256507788
160	0.25637016
161	0.2562441076
162	0.2561051172
163	0.2560034428
164	0.255898667
165	0.2558012034
166	0.2556892035
167	0.2555779835
168	0.2554874949
169	0.2553724153
170	0.255301265
171	0.2551772754
172	0.2550913334
173	0.2550247854
174	0.2549431528
175	0.2548501312
176	0.2547605149
177	0.2546728415
178	0.2546114261
179	0.2545004215
180	0.2544216133
181	0.2543477528
182	0.2542425217
183	0.2541645309
184	0.2540835448
185	0.2538846878
186	0.2537509616
187	0.2536578163
188	0.2535230968
189	0.2534152399
190	0.2533306448
191	0.2532475021
192	0.2531152376
193	0.2530010029
194	0.2529327657
195	0.2528700233
196	0.252722986
197	0.2526000709
198	0.2525647565
199	0.252485216
200	0.2523591813
201	0.2522484049
202	0.2521365483
203	0.2520778568
204	0.2519851085
205	0.2518946915
206	0.2518500317
207	0.2517573857
208	0.2516791575
209	0.2515486832
210	0.2514372414
211	0.2513611813
212	0.2512854893
213	0.2512027364
214	0.2510935471
215	0.2510266101
216	0.2508997675
217	0.2508136685
218	0.2507283661
219	0.2506077381
220	0.2505428481
221	0.2504570313
222	0.2503249169
223	0.2502439404
224	0.250147612
225	0.2500576913
226	0.2499386034
227	0.2498950577
228	0.2497794394
229	0.2496821171
230	0.2495678474
231	0.24945619823232	0.24934623523233	0.24922031123234	0.24912030423235	0.24903376223236	0.24895718923237	0.2488565512323238	0.24743212323239	0.24728124240240	0.24717124241241	0.24704324242242	0.24692424243243	0.2468042244	244	0.246755245	0245	0.24666246	0.246	0.24655247	0.247	0.24646248	0248	0.246364249	0249	0.246257250	250	0.2461615251251	0.24609109252252	0.24597101253253	0.24582651254254	0.24577335255255	0.24566086256256	0.24556314257257	0.24547778258258	0.24539401259259	0.24531711260260	0.24527373261261	0.2451555262	262	0.2450936263	263	0.2450012264	264	0.2448845265	265	0.2447859266	0.2435162343
267	0.2434518521
268	0.2433661851
269	0.2432805184
270	0.2431719073
271	0.2430938488
272	0.2430026956
273	0.2429214505
274	0.242846133
275	0.2428016807
276	0.2427004557
277	0.2426280289
278	0.2425483428
279	0.2424872406
280	0.2423906886
281	0.2423476193
282	0.2422290609
283	0.2421542806
284	0.24207182772285	0.2419877403286	0.2410780715
287	0.2410247107
2288	0.24170087322289	0.24386429552290	0.24380346772291	0.2437172262
292	0.2413128323
293	0.2412329767
294	0.2411404161
295	0.241048725
2296	0.24337038542297	0.2432822799
298	0.24320214
299	0.2430763825


905222
