iter	Logloss
0	0.636656334
1	0.5765812526
2	0.5334905408
3	0.4963230068
4	0.4665946348
5	0.4408661904
6	0.4197038674
7	0.40255776
8	0.3874731323
9	0.3755602053
10	0.364105143
11	0.3543654028
12	0.3456956226
13	0.3399529546
14	0.3348965109
15	0.3288062563
16	0.3234505317
17	0.3191955641
18	0.3164219746
19	0.3129254747
20	0.3096638652
21	0.3068452686
22	0.3042659558
23	0.3018093199
24	0.2993359215
25	0.2976632629
26	0.2958284669
27	0.29445101
28	0.2931376125
29	0.291691841
30	0.2897879535
31	0.2885162691
32	0.2874474083
33	0.2861046753
34	0.2852948801
35	0.2843689513
36	0.2836642791
37	0.2830741526
38	0.2822418326
39	0.2815729497
40	0.2807610034
41	0.2799977137
42	0.2793824
43	0.278790305
44	0.278278625
45	0.2774775483
46	0.2770427495
47	0.2766818135
48	0.276266277
49	0.275766785
50	0.2753816305
51	0.2749770547
52	0.274671017
53	0.2742140151
54	0.2737905298
55	0.2734241972
56	0.2730678358
57	0.2727883922
58	0.272496065
59	0.2722260219
60	0.2720298954
61	0.2715854466
62	0.2713662254
63	0.2710753722
64	0.2707930061
65	0.2705850163
66	0.2703254774
67	0.2700760002
68	0.2697653817
69	0.2694850491
70	0.2692897452
71	0.2689942307
72	0.2687782953
73	0.2686258021
74	0.2684651812
75	0.2682662455
76	0.2679605464
77	0.2678195153
78	0.2676778577
79	0.2674897898
80	0.2671654927
81	0.2669947937
82	0.2666467626
83	0.2664449811
84	0.2661423236
85	0.265865962
86	0.2656953106
87	0.2655784017
88	0.2654309943
89	0.2652241913
90	0.265095509
91	0.2649054153
92	0.2647305616
93	0.2645671391
94	0.264387685
95	0.2641722013
96	0.2640535029
97	0.263919138
98	0.2637543562
99	0.2636916096
100	0.2635326574
101	0.2634122963
102	0.2633031695
103	0.2631601419
104	0.2629799924
105	0.2627779924
106	0.262653606
107	0.2624294483
108	0.2623178099
109	0.2622059211
110	0.2620113471
111	0.2618904672
112	0.2617499405
113	0.2616345786
114	0.2615167633
115	0.2613323826
116	0.261216001
117	0.2610822322
118	0.2609529497
119	0.2607847078
120	0.2606515231
121	0.2605358302
122	0.2603411997
123	0.2602191078
124	0.2600780215
125	0.2599739349
126	0.2598029284
127	0.2596500501
128	0.2595746647
129	0.2594103927
130	0.259244913
131	0.2591191356
132	0.2589688506
133	0.2588598747
134	0.2587379801
135	0.2586324346
136	0.2584941567
137	0.2584272637
138	0.2583062566
139	0.2581877878
140	0.2580860782
141	0.2579315918
142	0.2578044441
143	0.2576557635
144	0.2575528301
145	0.2574913981
146	0.2574110329
147	0.2573319763
148	0.2572279061
149	0.2571161602
150	0.2570233098
151	0.2569042073
152	0.2568488244
153	0.2567021432
154	0.2565902117
155	0.2564626829
156	0.2563890764
157	0.2562869752
158	0.2561355713
159	0.2560331222
160	0.2559634229
161	0.2558262875
162	0.2557293288
163	0.2556217146
164	0.2554828266
165	0.2554073435
166	0.2552863315
167	0.2551733937
168	0.2550357403
169	0.2549692072
170	0.2548579461
171	0.2547767151
172	0.2546412614
173	0.2545857244
174	0.2545039474
175	0.2543942661
176	0.2542869155
177	0.2541723607
178	0.2540971659
179	0.2540091172
180	0.2538882264
181	0.2538042247
182	0.2537459708
183	0.253654396
184	0.2535581948
185	0.2534463299
186	0.2533850657
187	0.2533203637
188	0.2532263801
189	0.2531134359
190	0.253052405
191	0.2529471277
192	0.2528569856
193	0.2527981083
194	0.2526758042
195	0.2525230186
196	0.2524009152
197	0.2523007378
198	0.2522143805
199	0.2521417587
200	0.2520291482
201	0.2519246198
202	0.2518247857
203	0.2517262355
204	0.2516727625
205	0.2515971991
206	0.2514729062
207	0.2513746241
208	0.2512415954
209	0.2511160137
210	0.2510588889
211	0.2509682169
212	0.2509086945
213	0.25077042
214	0.2506922614
215	0.2506137708
216	0.2505500826
217	0.2504528793
218	0.2503522427
219	0.2502664405
220	0.2501310585
221	0.250067993
222	0.2500327874
223	0.2499524273
224	0.2498686146
225	0.2497962942
226	0.2496932498
227	0.249615595
228	0.2494831876
229	0.2493575566
230	0.2492256424
231	0.2490904527
232	0.2490318272
233	0.2489819508
234	0.2489239841
235	0.2488431184
236	0.248719879
237	0.2486370104
238	0.2485117729
239	0.248404289
240	0.2483238151
241	0.2482317475
242	0.2481222017
243	0.2480792035
244	0.247984788
245	0.2478513966
246	0.2477574074
247	0.2476758355
248	0.2476094118
249	0.2475019288
250	0.2473993731
251	0.247347605
252	0.2473004741
253	0.2471706702
254	0.2471280304
255	0.247004283
256	0.2468947462
257	0.2468216129
258	0.2466911399
259	0.2466036032
260	0.2465368389
261	0.2464956381
262	0.2463996312
263	0.2463042409
264	0.2461781905
265	0.2460581233
266	0.245968536
267	0.2458821229
268	0.2458126748
269	0.2457204845
270	0.2455946683
271	0.2454899497
272	0.2453508283
273	0.2452515323
274	0.245160545
275	0.2450647005
276	0.2449508345
277	0.2448595201
278	0.2447705553
279	0.2447114454
280	0.2445880672
281	0.2445511319
282	0.244450652
283	0.2443671478
284	0.2442663572
285	0.2441824486
286	0.2441025816
287	0.2440421209
288	0.2439411704
289	0.2438378318
290	0.243741952
291	0.2436345301
292	0.243558677
293	0.2434546034
294	0.2433829882
295	0.2432725564
296	0.2432126463
297	0.2431072571
298	0.2430270379
299	0.2429394405
